Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,05,14,23,2,2,4,28.00,3,,0.00
1,2019,05,14,23,3,2,4,28.00,3,,0.00
1,2019,05,15,00,0,3,4,30.00,1,,0.00
1,2019,05,15,00,1,3,4,30.00,1,,0.00
1,2019,05,15,00,2,3,4,30.00,1,,0.00
1,2019,05,15,00,3,3,4,30.00,1,,0.00
1,2019,05,15,01,0,3,4,30.00,1,,0.00
1,2019,05,15,01,1,3,4,30.00,1,,0.00
1,2019,05,15,01,2,3,4,30.00,1,,0.00
1,2019,05,15,01,3,3,4,30.00,1,,0.00
1,2019,05,15,02,0,3,4,30.00,1,,0.00
1,2019,05,15,02,1,3,4,30.00,1,,0.00
1,2019,05,15,02,2,3,4,30.00,1,,0.00
1,2019,05,15,02,3,3,4,30.00,1,,0.00
1,2019,05,15,03,0,3,4,30.00,1,,0.00
1,2019,05,15,03,1,3,4,30.00,1,,0.00
1,2019,05,15,03,2,3,4,30.00,1,,0.00
1,2019,05,15,03,3,3,4,30.00,1,,0.00
1,2019,05,15,04,0,3,4,30.00,1,,0.00
1,2019,05,15,04,1,3,4,30.00,1,,0.00
1,2019,05,15,04,2,3,4,30.00,1,,0.00
1,2019,05,15,04,3,3,4,30.00,1,,0.00
1,2019,05,15,05,0,3,4,30.00,1,,0.00
1,2019,05,15,05,1,3,4,30.00,1,,0.00
1,2019,05,15,05,2,3,4,30.00,1,,0.00
1,2019,05,15,05,3,3,4,30.00,1,,0.00
1,2019,05,15,06,0,3,4,30.00,1,,0.00
1,2019,05,15,06,1,3,4,30.00,1,,2.00
1,2019,05,15,06,2,3,4,30.00,1,,2.00
1,2019,05,15,06,3,3,4,30.00,1,,2.00
1,2019,05,15,07,0,3,4,30.00,1,,4.00
1,2019,05,15,07,1,3,4,30.00,1,,2.00
1,2019,05,15,07,2,3,4,30.00,1,,5.00
1,2019,05,15,07,3,3,4,30.00,1,,5.00
1,2019,05,15,08,0,3,4,30.00,1,,6.00
1,2019,05,15,08,1,3,4,30.00,1,,9.00
1,2019,05,15,08,2,3,4,30.00,1,,7.00
1,2019,05,15,08,3,3,4,30.00,1,,8.00
1,2019,05,15,09,0,3,4,30.00,1,,7.00
1,2019,05,15,09,1,3,4,30.00,1,,10.00
1,2019,05,15,09,2,3,4,30.00,1,,12.00
1,2019,05,15,09,3,3,4,30.00,1,,11.00
1,2019,05,15,10,0,3,4,30.00,1,,11.00
1,2019,05,15,10,1,3,4,30.00,1,,12.00
1,2019,05,15,10,2,3,4,30.00,1,,11.00
1,2019,05,15,10,3,3,4,30.00,1,,11.00
1,2019,05,15,11,0,3,4,30.00,1,,11.00
1,2019,05,15,11,1,3,4,30.00,1,,11.00
1,2019,05,15,11,2,3,4,30.00,1,,11.00
1,2019,05,15,11,3,3,4,30.00,1,,12.00
1,2019,05,15,12,0,3,4,30.00,1,,10.00
1,2019,05,15,12,1,3,4,30.00,1,,12.00
1,2019,05,15,12,2,3,4,30.00,1,,11.00
1,2019,05,15,12,3,3,4,30.00,1,,11.00
1,2019,05,15,13,0,3,4,30.00,1,,11.00
1,2019,05,15,13,1,3,4,30.00,1,,11.00
1,2019,05,15,13,2,3,4,30.00,1,,12.00
1,2019,05,15,13,3,3,4,30.00,1,,10.00
1,2019,05,15,14,0,3,4,30.00,1,,12.00
