ID,generation,forecast_generation
1,0.133777,0.119041101
1,0.273144,0.283569475
1,0.4195776,0.485927146
1,0.3119254,1.031180065
1,0.3694934,0.405406877
1,0.57495,0.440671577
1,0.807072,0.889941
1,0.70112,0.862723152
1,0.5318214,0.95880528
1,0.7652784,0.576859619
1,0.4110786,0.46226952
1,0.2549644,0.667837593
1,0.78728,0.65332128
1,0.6589368,1.020748788
1,0.6387904,0.85855968
1,0.2557792,0.869030829
1,0.0873496,0.6979569
1,0.0736668,0.12782554
1,0.273851,0.4087097
1,0.166244,0.195792064
1,0.0873392,0.14089192
1,0.045906,0.046624975
1,0.04599,0.024507925
